,base,equity,message,realised_pnl,total_commission,unrealised_pnl
2010-12-20,1000000.0,1022116.9662506847,MTM,-196201.4711099471,6.0,218324.43736063183
2010-12-21,1000000.0,1037847.5805468786,MTM,-196201.4711099471,6.0,234055.0516568257
2010-12-22,1000000.0,1046716.9249515106,MTM,-196201.4711099471,6.0,242924.3960614576
2010-12-23,1000000.0,1042386.9468211398,MTM,-196201.4711099471,6.0,238594.41793108685
2010-12-27,1000000.0,1043997.6967778875,MTM,-196201.4711099471,6.0,240205.16788783454
2010-12-28,1000000.0,1046026.7126155439,MTM,-196201.4711099471,6.0,242234.18372549102
2010-12-29,1000000.0,1048683.378294337,MTM,-196201.4711099471,6.0,244890.84940428426
2010-12-30,1000000.0,1044708.8483466093,MTM,-196201.4711099471,6.0,240916.31945655643
2010-12-31,1000000.0,1044206.8297183419,MTM,-196201.4711099471,6.0,240414.30082828892
2011-01-03,1000000.0,1073973.5493311295,MTM,-196201.4711099471,6.0,270181.02044107666
2011-01-04,1000000.0,1070480.0987789137,MTM,-196201.4711099471,6.0,266687.56988886103
2011-01-05,1000000.0,1083784.372681129,MTM,-196201.4711099471,6.0,279991.84379107616
2011-01-06,1000000.0,1078115.3358456325,MTM,-196201.4711099471,6.0,274322.80695557955
2011-01-07,1000000.0,1073199.582155973,MTM,-196201.4711099471,6.0,269407.05326592014
2011-01-10,1000000.0,1069538.8771288134,MTM,-196201.4711099471,6.0,265746.3482387607
2011-01-11,1000000.0,1079433.1980227358,MTM,-196201.4711099471,6.0,275640.6691326829
2011-01-12,1000000.0,1103447.383256104,MTM,-196201.4711099471,6.0,299654.8543660513
2011-01-13,1000000.0,1098845.4565788442,MTM,-196201.4711099471,6.0,295052.92768879153
2011-01-14,1000000.0,1118675.9768321994,MTM,-196201.4711099471,6.0,314883.44794214645
2011-01-18,1000000.0,1122399.4995576246,MTM,-196201.4711099471,6.0,318606.97066757176
2011-01-19,1000000.0,1094996.5578439857,MTM,-196201.4711099471,6.0,291204.028953933
2011-01-20,1000000.0,1091524.0465245254,MTM,-196201.4711099471,6.0,287731.51763447264
2011-01-21,1000000.0,1097987.7345644978,MTM,-196201.4711099471,6.0,294195.2056744451
2011-01-24,1000000.0,1113655.5311624259,MTM,-196201.4711099471,6.0,309863.00227237307
2011-01-25,1000000.0,1114366.9379345838,MTM,-196201.4711099471,6.0,310574.409044531
2011-01-26,1000000.0,1125767.3168051396,MTM,-196201.4711099471,6.0,321974.7879150869
2011-01-27,1000000.0,1131854.617429714,MTM,-196201.4711099471,6.0,328062.0885396611
2011-01-28,1000000.0,1083323.975223105,MTM,-196201.4711099471,6.0,279531.446333052
2011-01-31,1000000.0,1103782.147409428,MTM,-196201.4711099471,6.0,299989.618519375
2011-02-01,1000000.0,1148693.707850952,MTM,-196201.4711099471,6.0,344901.1789608992
2011-02-02,1000000.0,1141246.9196953685,MTM,-196201.4711099471,6.0,337454.3908053158
2011-02-03,1000000.0,1147668.7313616616,MTM,-196201.4711099471,6.0,343876.2024716089
2011-02-04,1000000.0,1155554.9756506826,MTM,-196201.4711099471,6.0,351762.4467606299
2011-02-07,1000000.0,1172666.269822246,MTM,-196201.4711099471,6.0,368873.740932193
2011-02-08,1000000.0,1184212.9639349903,MTM,-196201.4711099471,6.0,380420.4350449375
2011-02-09,1000000.0,1176494.2293243492,MTM,-196201.4711099471,6.0,372701.7004342963
2011-02-10,1000000.0,1178565.121535685,MTM,-196201.4711099471,6.0,374772.5926456321
2011-02-11,1000000.0,1193793.71511178,MTM,-196201.4711099471,6.0,390001.1862217273
2011-02-14,1000000.0,1200424.6576266964,MTM,-196201.4711099471,6.0,396632.1287366435
2011-02-15,1000000.0,1191408.997979876,MTM,-196201.4711099471,6.0,387616.4690898231
